"Region","Year","Earthquake_Numbers","Earthquake_Average_Magnitude(4+)","Internal_Emigration","Internal_Immigration","Net_Internal_Immigration","Average_Precipitation (mm)","Average_Temperature (°C)","Average_Windspeed (kn)"
"Bay of Plenty",2014,7,4.349857944285715,20613,19689,-924,1098.8,14.11,39.76
"Bay of Plenty",2015,2,4.1654543375,23820,22446,-1374,953.8,13.97,38.06
"Bay of Plenty",2016,6,4.5110420175,25836,23298,-2538,1287.65,14.72,38.99
"Bay of Plenty",2017,14,4.4443421632857145,24840,23259,-1581,1848.3,14.45,37.74
"Canterbury",2014,6,4.2752364919999994,145224,145152,-72,575.23,10.3,40.03
"Canterbury",2015,9,4.521119003777778,156963,152829,-4134,448.63,10.46,41.76
"Canterbury",2016,280,4.502783129107143,159516,154071,-5445,560.57,11.03,38.95
"Canterbury",2017,44,4.429156177727273,146211,140367,-5844,657.57,10.57,37.39
"Gisborne",2014,4,4.42209402475,15687,15756,69,1096.0,14.67,38.12
"Gisborne",2015,5,4.3922497806,16632,16587,-45,1143.1,14.27,37.27
"Gisborne",2016,3,4.416514773,15399,15174,-225,1309.1,15.32,36.67
"Gisborne",2017,3,4.640116232,14199,14580,381,1179.2,15.01,35.65
"Hawke's Bay",2014,8,4.4719964855,91590,92190,600,625.2,14.68,42.32
"Hawke's Bay",2015,3,4.274776073333333,98364,97335,-1029,621.7,14.47,41.65
"Hawke's Bay",2016,7,4.310498537142857,100083,97653,-2430,654.6,15.55,41.15
"Hawke's Bay",2017,5,4.2354397538,91233,89373,-1860,826.0,15.04,39.14
"Manawatū-Whanganui",2014,25,4.4715248046000005,50490,49314,-1176,953.3,12.38,40.28
"Manawatū-Whanganui",2015,16,4.4428380769375,53283,51663,-1620,1067.2,12.32,38.84
"Manawatū-Whanganui",2016,7,4.318439504571429,53610,51783,-1827,1087.15,13.32,38.86
"Manawatū-Whanganui",2017,13,4.320560570846154,52011,49593,-2418,1215.7,12.75,36.47
"Marlborough",2014,7,4.136728114428571,3078,2853,-225,591.8,12.8,40.88
"Marlborough",2015,16,4.5023658093125,3291,3054,-237,495.8,12.67,40.57
"Marlborough",2016,218,4.487265588866973,3234,3333,99,731.8,13.29,38.42
"Marlborough",2017,33,4.442394865333333,3285,3096,-189,640.6,13.01,37.52
"Nelson",2015,1,4.019203087,4632,4620,-12,650.0,13.27,37.53
"Otago",2014,1,4.044708336,13227,10863,-2364,636.8,10.33,41.42
"Otago",2015,6,4.5659720723333335,14019,11832,-2187,599.9,10.41,43.35
"Otago",2016,1,4.337787574,13716,11871,-1845,656.87,11.01,40.35
"Otago",2017,1,4.422501148,14049,11118,-2931,641.53,10.67,37.75
"Southland",2014,14,4.510727296214285,22527,22983,456,3065.6,10.49,44.46
"Southland",2015,11,4.385362616272728,23598,24270,672,3064.07,10.32,45.04
"Southland",2016,17,4.44178896882353,22488,22854,366,3731.4,10.9,42.57
"Southland",2017,11,4.430855867909091,21108,22002,894,2449.97,10.68,40.62
"Taranaki",2015,3,4.389811580333333,5808,6267,459,1342.0,13.66,46.5
"Taranaki",2016,2,4.592510498999999,6012,6183,171,1102.8,14.63,47.41
"Taranaki",2017,4,4.114562342,6555,6090,-465,1298.0,14.15,44.85
"Waikato",2014,3,4.443638941,171279,171024,-255,835.1,12.91,39.34
"Waikato",2015,3,4.460134161666667,184494,181812,-2682,954.9,12.93,37.44
"Waikato",2016,5,4.1809984984,188415,185739,-2676,971.3,13.74,38.2
"Waikato",2017,5,4.4081588148,173247,168843,-4404,1470.5,13.33,36.47
"Wellington",2014,3,4.2586465,17856,17376,-480,999.85,13.44,44.08
"Wellington",2015,2,4.266105251500001,18657,18027,-630,860.65,13.26,43.95
"Wellington",2016,8,4.593517650875,19629,18570,-1059,995.0,14.16,42.3
"Wellington",2017,7,4.440595835142857,20067,18105,-1962,1103.6,13.59,40.5
"West Coast",2014,3,4.606892808666667,7512,7707,195,2162.65,12.11,30.98
"West Coast",2015,4,4.23961523775,7782,8277,495,2404.25,12.09,30.39
"West Coast",2016,3,4.339494699,7791,8136,345,2731.0,12.52,30.65
"West Coast",2017,4,4.350614576,7020,7482,462,2244.8,12.39,28.27
"Auckland",2014,NA,NA,49401,54831,5430,1017.9,15.66,47.24
"Auckland",2015,NA,NA,52344,65733,13389,942.65,15.87,44.16
"Auckland",2016,NA,NA,53199,72780,19581,1164.7,16.44,46.27
"Auckland",2017,NA,NA,50583,74862,24279,1306.3,16.26,43.81
"Nelson",2014,NA,NA,4806,4197,-609,861.4,13.26,37.61
"Nelson",2016,NA,NA,4518,4524,6,1249.7,13.77,35.87
"Nelson",2017,NA,NA,4506,4293,-213,1018.8,13.69,35.03
"Northland",2014,NA,NA,67836,67194,-642,1744.8,15.86,39.04
"Northland",2015,NA,NA,71793,70929,-864,1045.1,15.9,36.78
"Northland",2016,NA,NA,73503,71088,-2415,1378.4,16.68,37.53
"Northland",2017,NA,NA,68220,64593,-3627,1502.25,16.26,37.1
"Taranaki",2014,NA,NA,5577,5544,-33,1238.6,13.65,47.31
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tasman",2014,1,4.1969382,3999,4029,30,NA,NA,NA
"Tasman",2015,1,4.462830281,4293,4092,-201,NA,NA,NA
"Tasman",2017,2,4.2786529535,4332,3810,-522,NA,NA,NA
"NA",2014,298,4.4608259130436245,NA,NA,NA,NA,NA,NA
"NA",2015,403,4.474263920811414,NA,NA,NA,NA,NA,NA
"NA",2016,435,4.479663763891954,NA,NA,NA,NA,NA,NA
"NA",2017,262,4.435193155973282,NA,NA,NA,NA,NA,NA
"Auckland",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northland",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tasman",2016,NA,NA,3987,3879,-108,NA,NA,NA
"Tasman",NA,NA,NA,NA,NA,NA,NA,NA,NA
